CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,HOUSING_PSA,JURISDICTION_CODE,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PATROL_BORO,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,STATION_NAME,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon,New Georeferenced Column
281576884,123,STATEN ISLAND,9/21/23,10:00:00,9/28/23,15:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,(null),PATROL BORO STATEN ISLAND,412,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED",RESIDENCE-HOUSE,2/2/24,(null),(null),(null),(null),,65+,WHITE,M,935963,131541,40.527596,-74.173693,"(40.527596, -74.173693)",POINT (-74.173693 40.527596)
281100659,122,STATEN ISLAND,12/28/23,17:50:00,12/28/23,18:43:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,106,FELONY,(null),FELONY ASSAULT,(null),PATROL BORO STATEN ISLAND,106,ASSAULT POLICE/PEACE OFFICER,STREET,1/25/24,(null),45-64,WHITE,M,,UNKNOWN,UNKNOWN,L,949021,148211,40.57341089433656,-74.12681095,"(40.57341089433656, -74.12681095464319)",POINT (-74.12681095464319 40.57341089433656)
281100656,122,STATEN ISLAND,12/28/23,17:50:00,12/28/23,18:43:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,106,FELONY,(null),FELONY ASSAULT,(null),PATROL BORO STATEN ISLAND,106,ASSAULT POLICE/PEACE OFFICER,STREET,1/25/24,(null),45-64,WHITE,M,,UNKNOWN,UNKNOWN,L,949021,148211,40.57341089433656,-74.12681095,"(40.57341089433656, -74.12681095464319)",POINT (-74.12681095464319 40.57341089433656)
280663140,121,STATEN ISLAND,12/16/23,20:00:00,12/17/23,15:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,110,FELONY,FRONT OF,GRAND LARCENY OF MOTOR VEHICLE,(null),PATROL BORO STATEN ISLAND,441,"LARCENY,GRAND OF AUTO",STREET,1/17/24,(null),(null),(null),(null),,25-44,ASIAN / PACIFIC ISLANDER,M,945892,162439,40.612453,-74.138152,"(40.612453, -74.138152)",POINT (-74.138152 40.612453)
280453915,121,STATEN ISLAND,11/2/23,8:00:00,1/13/24,8:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,(null),PATROL BORO STATEN ISLAND,424,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT",RESIDENCE-HOUSE,1/13/24,(null),(null),(null),(null),,65+,WHITE,M,941515,164017,40.616765,-74.153929,"(40.616765, -74.153929)",POINT (-74.153929 40.616765)
280809339,121,STATEN ISLAND,11/1/23,19:00:00,11/1/23,19:01:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,126,FELONY,(null),MISCELLANEOUS PENAL LAW,(null),PATROL BORO STATEN ISLAND,198,CRIMINAL CONTEMPT 1,STREET,1/19/24,(null),45-64,BLACK,M,,25-44,BLACK,F,940678,151699,40.58294767529686,-74.156865,"(40.58294767529686, -74.1568649961577)",POINT (-74.1568649961577 40.58294767529686)
290653262,122,STATEN ISLAND,10/30/23,21:30:00,5/31/24,22:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,(null),PATROL BORO STATEN ISLAND,153,RAPE 3,RESIDENCE-HOUSE,7/25/24,(null),25-44,WHITE,M,,25-44,WHITE,F,954827,148519,40.57428569,-74.10591441,"(40.5742856881925, -74.1059144051212)",POINT (-74.1059144051212 40.5742856881925)
282589369,121,STATEN ISLAND,10/21/23,8:00:00,11/1/23,8:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,109,FELONY,FRONT OF,GRAND LARCENY,(null),PATROL BORO STATEN ISLAND,439,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",STREET,2/21/24,(null),(null),(null),(null),,25-44,ASIAN / PACIFIC ISLANDER,F,936864,171012,40.635939,-74.170729,"(40.635939, -74.170729)",POINT (-74.170729 40.635939)
287039079,121,STATEN ISLAND,6/27/23,0:00:00,6/27/23,23:59:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,116,FELONY,INSIDE,SEX CRIMES,(null),PATROL BORO STATEN ISLAND,177,SEXUAL ABUSE,RESIDENCE-HOUSE,5/17/24,(null),45-64,UNKNOWN,M,,<18,UNKNOWN,F,942822,166353,40.62318838,-74.14923769,"(40.6231883776008, -74.1492376947323)",POINT (-74.1492376947323 40.6231883776008)
280338440,122,STATEN ISLAND,1/7/23,17:22:00,,(null),COMPLETED,(null),1293,2,N.Y. HOUSING POLICE,112,FELONY,INSIDE,THEFT-FRAUD,(null),PATROL BORO STATEN ISLAND,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - PUBLIC HOUSING,1/11/24,(null),UNKNOWN,UNKNOWN,U,,25-44,WHITE HISPANIC,F,950998,161170,40.608989,-74.119757,"(40.608989, -74.119757)",POINT (-74.119757 40.608989)
