@id,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,building,check_date:opening_hours,ele,fee,fee:conditional,gnis:feature_id,height,name,nycdoitt:bin,opening_hours,phone,tourism,type,website,wheelchair,wikidata,wikipedia,@geometry,lon,lat,alt_name:es,check_date,internet_access,internet_access:fee,internet_access:ssid,museum,name:en,name:he,name:hi,name:ru,ref:nrhp,short_name,source,name:de,start_date,building:material,building:part,email,roof:material,roof:shape,building:levels,contact:phone,description,name:da,name:es,name:ko,name:lt,name:pl,name:uk,name:zh,official_name,opening_hours:url,alt_name,old_name,old_name:es,religion,air_conditioning,building:colour,payment:mastercard,payment:visa,roof:colour,addr:country,contact:website,historic,image,operator,amenity,architect,architect:wikidata,architect:wikipedia,building:architecture,building:name,building:start_date,building:wikidata,building:wikipedia,building:use,heritage,heritage:operator,heritage:website,lpc:inscription_date,museum:start_date,nrhp:criteria,nrhp:inscription_date,operator:type,owner,ref:lpc,wheelchair:description,nrhp:nhl,protection_title,source_ref,memorial,name:fr,min_height,name:kn,name:zh-Hans,toilets:wheelchair,name:et,name:ja,addr:floor,alt_name:cs,layer,name:cs,name:it,name:nl,name:pt,area,fax,note,fixme,contact:email,contact:facebook,contact:instagram,fee:description,contact:twitter,min_age,subject,toilets,wikimedia_commons,payment:american_express,payment:credit_cards,level,toilets:access,toilets:unisex,opening_hours:covid19,lgbtq,hairdresser,shop,charge,name:etymology:wikidata,man_made,monitoring:weather,website:alternate
relation/3606825,New York,170,10024,NY,Central Park West,yes,2024-09-06,27,yes,no @ age < 5,958473,35.8,New-York Historical Society,1028816,Tu-Su 11:00-17:00; Fr 11:00-20:00,1 (212) 873-3400,museum,multipolygon,https://www.nyhistory.org/,yes,Q1059456,en:New-York Historical Society,center,-73.974265,40.779286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation/3698894,New York,1000,,NY,5th Avenue,museum,2024-09-05,28,yes,no @ age < 12,957042,26.8,The Metropolitan Museum of Art,1083810,10:00-17:00; Fr-Sa 10:00-21:00; We off; May Mo[1] off; Nov Th[4] off; Dec 25 off; Jan 01 off,+1 212-535-7710,museum,multipolygon,https://www.metmuseum.org/,yes,Q160236,en:Metropolitan Museum of Art,center,-73.9634178,40.7793968,Museo Metropolitan de Arte,2023-01-16,wlan,no,MetMuseumFreeWiFi,art,The Metropolitan Museum of Art,מוזיאון המטרופוליטן לאמנות,कला का महानगरीय संग्रहालय,Метрополитан Музей Искусства,86003556,The Met,bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation/7281773,,,,,,,2024-09-08,,,no @ age < 13; no @ Th 16:00-20:00,,,Museum of Jewish Heritage,,We-Su 10:00-17:00; Th 10:00-20:00; Sa off,,museum,multipolygon,https://mjhnyc.org/,yes,Q839985,en:Museum of Jewish Heritage,center,-74.0186031,40.7060437,,,,,,,,,,,,,,Jüdisches Museum,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/109269297,New York,2,,NY,Columbus Circle,yes,2024-09-06,,yes,no @ age < 13,2083274,45,Museum of Arts and Design,1024910,Tu-Su 10:00-18:00; Oct 14 off,+1 212-299-7777,museum,,https://www.madmuseum.org/,yes,Q6940773,en:Museum of Arts and Design,center,-73.9820053,40.7673824,,,,,,,,,,,,MAD,,,,concrete,yes,info@madmuseum.org,concrete,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/162755458,New York,25,10019,NY,West 52nd Street,yes,2024-09-05,21,yes,no @ age < 12,2083273,30,Paley Center for Media,1076265,We-Su 12:00-18:00; Jan 01 off; Jul 04 off; Nov Th[4] off; Dec 25 off,,museum,,https://www.paleycenter.org/,yes,Q7127465,en:Paley Center for Media,center,-73.9775846,40.760591,,,,,,,,,,,,,,,1990,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/170149134,New York,1071,10128,NY,5th Avenue,museum,2024-09-05,33,yes,no @ age < 12,,,Guggenheim Museum,,Mo-Su 10:30-17:30; Nov Th[4] off; Dec 24 10:30-16:00; Dec 25 off,,museum,,https://www.guggenheim.org/new-york,yes,Q201469,en:Solomon R. Guggenheim Museum,center,-73.9588842,40.7829919,,,,,,art,,מוזיאון סולומון ר. גוגנהיים,,Музей Соломона Гуггенхайма,05000443,,,,,,,,,,6,+1 212-423-3500,Hint: Saturdays 18:00-20:00 Pay-What-You-Wish Admission,Guggenheim Museum,Museo Guggenheim,구겐하임 미술관,Gugenheimo muziejus,Muzeum Guggenheima w Nowym Jorku,Музей Соломона Гуггенгайма,古根漢博物館,Solomon R. Guggenheim Museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/241833272,,222,10003,,East 6th Street,yes,,,yes,,,13.0,The Ukrainian Museum,1006616,,,museum,,https://www.theukrainianmuseum.org/,yes,Q4470591,en:Ukrainian Museum,center,-73.9897653,40.7276617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.theukrainianmuseum.org/visit/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/247838607,New York,29,10003,,East 4th Street,yes,2023-04-05,,yes,,,19.1,Merchant's House Museum,1008785,Sep-May Th-Su 13:00-17:00; Jun-Aug We-Su 13:00-17:00; PH off,,museum,,https://merchantshouse.org/,no,Q3306353,en:Merchant's House Museum,center,-73.9923438,40.7276576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/247920493,,235,10002,,Bowery,yes,2024-09-06,,,,,48.4,New Museum,1005709,closed,+1-212-219-1222,museum,,https://www.newmuseum.org/,,Q1156823,en:New Museum,center,-73.9928349,40.722347,,,,,,art,,,,,,,,,,,,,,,,,,,Nuevo Museo,,,,,,,,New Museum of Contemporary Art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/249664614,New York,278,10013,NY,Spring Street,yes,,5,,,2082957,18.9,New York City Fire Museum,1009739,10:00-17:00,,museum,,https://www.nycfiremuseum.org/,yes,Q510422,en:New York City Fire Museum,center,-74.0069355,40.7255756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museo de los Bomberos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
